type	latitude	longitude	altitude (m)	color	width	opacity	sym	name	desc
W	49.002376000	-122.265136000	13.0				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01010	Canada-US Border/SR 9 Cherry St
W	48.992711000	-122.264948000	13.5				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01050	SR 9 Cherry St/SR547 Front St
W	48.992759000	-122.247672000	12.6				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01070	SR 547 turn
W	48.985592000	-122.247506000	14.0				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01090	SR 547 turn
W	48.981561000	-122.237702000	14.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y010A0	SR 547 bend (Pass Hillview Rd)
W	48.963532000	-122.224416000	121.6				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y010B0	SR 547 bend
W	48.976707000	-122.179255000	177.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y010C0	SR 547 Kendall Rd bend
W	48.938127000	-122.147284000	146.0				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y010E0	SR 547 (Cross Peaceful Valley Dr)
W	48.917141000	-122.142906000	134.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y010F0	SR 547 Kendall Rd turn (Pass Wheeler Rd)
W	48.917183000	-122.137970000	134.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y010H0	SR 547 Kendall Rd/SR 542 Mt. Baker Hwy
W	48.828320000	-122.177330000	97.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y010L0	SR 542
W	48.815973000	-122.202511000	76.6				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y010M0	SR 542/SR 9
W	48.601671000	-122.232745000	74.3				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y010U0	SR 9 (Cross Samish River)
W	48.591600000	-122.230180000	82.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y010V0	SR 9 bend
W	48.586958000	-122.224279000	99.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y010W0	SR 9 bend
W	48.527384000	-122.226033000	61.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y010X0	SR 9/N Township St
W	48.503309000	-122.225904000	17.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01100	SR 9/E State St
W	48.503060000	-122.247020000	15.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01160	W State St/SR 9
W	48.484690000	-122.243536000	7.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01170	Cross Skagit River
W	48.479282000	-122.242616000	13.7				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01190	SR 9/S Skagit Hwy
W	48.493421000	-122.068833000	37.2				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y011A0	S Skagit Hwy bend
W	48.501663000	-122.066240000	32.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y011B0	S Skagit Hwy turn
W	48.514261000	-121.996734000	34.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y011C0	S Skagit Hwy bend
W	48.518501000	-121.845846000	44.7				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y011D0	S Skagit Hwy (Pass Lower Finney Creek Rd)
W	48.531727000	-121.790533000	59.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y011E0	S Skagit Hwy bend
W	48.523910000	-121.772845000	63.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y011F0	S Skagit Hwy/Concrete Sauk Valley Rd
W	48.536955000	-121.766067000	56.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y011H0	Concrete Sauk Valley Rd/SR 20
W	48.488177000	-121.590946000	84.6				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y011R0	SR 20/SR 530
W	48.484919000	-121.593232000	66.0				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y011T0	SR 530 (Cross Skagit River)
W	48.466101000	-121.586938000	73.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y011U0	SR 530/Rockport Cascade Rd
W	48.483911000	-121.495571000	92.2				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y011V0	Rockport Cascade Rd
W	48.519919000	-121.448142000	93.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y011W0	5905 Rockport Cascade Rd bend
W	48.519027000	-121.417061000	112.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y011X0	Rockport Cascade Rd bend
W	48.527135000	-121.415628000	102.6				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y011Z0	Rockport Cascade Rd/Cascade River Rd
W	48.526870000	-121.430941000	99.2				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01210	Cascade River Rd/SR 20
W	48.588366000	-121.391416000	113.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01290	SR 20 (Pass Bacon Creek Rd)
W	48.640314000	-121.314102000	131.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y012A0	Skagit Co/Whatcom Co Line
W	48.693044000	-121.222139000	256.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y012H0	SR 20 Tunnel
W	48.701230000	-121.200841000	351.5				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y012J0	SR 20 Tunnel
W	48.710510000	-121.135230000	407.6				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y012L0	SR 20 (Pass Diablo Lake Dam Rd)
W	48.690902000	-121.096009000	372.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y012M0	SR 20 (Cross Diablo Lake)
W	48.709603000	-121.096130000	516.7				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y012P0	SR 20 bend
W	48.728827000	-121.056289000	657.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y012S0	SR 20 bend (Cross Happy Cr)
W	48.705966000	-120.919366000	571.2				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y012T0	SR 20 (Pass Canyon Cr trail El 1965')
W	48.665847000	-120.872668000	779.3				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y012U0	SR 20 (Pass East Cr trail El 2560')
W	48.657536000	-120.859847000	860.5				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y012V0	Whatcom Co/Skagit Co Line
W	48.640328000	-120.851726000	977.5				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y012W0	SR 20 (Pass Cabinet Cr)
W	48.555538000	-120.768649000	1257.7				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y012X0	SR 20 (El 4000')
W	48.515016000	-120.733766000	1482.0				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y012Z0	SR 20 (Rainy Pass El 4860')
W	48.504731000	-120.720776000	1381.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01300	Cross Bridge Cr (El 4540')
W	48.524505000	-120.657812000	1662.6				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01310	Washington Pass (El 5491')
W	48.514253000	-120.643733000	1577.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01320	SR 20 hairpin turn(El 5140')
W	48.563819000	-120.636320000	1209.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01330	SR 20 (Cross Cutthroat Cr El 3990')
W	48.596012000	-120.602223000	1078.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01350	SR 20 (El 3560')
W	48.587122000	-120.409254000	647.6				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y013A0	SR 20/Lost River Rd
W	48.592530000	-120.404792000	642.0				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y013B0	Lost River Rd/Goat Creek Rd
W	48.543857000	-120.322138000	601.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y013H0	Goat Creek Rd bend
W	48.543478000	-120.322180000	596.5				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y013J0	Goat Creek Rd/SR 20
